
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=55, y=02 cx=135 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=56, y=02 cx=136 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=57, y=02 cx=137 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=58, y=02 cx=138 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=59, y=02 cx=139 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=60, y=02 cx=140 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=61, y=02 cx=141 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=62, y=02 cx=142 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=63, y=02 cx=143 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=64, y=02 cx=144 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=65, y=02 cx=145 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=66, y=02 cx=146 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=67, y=02 cx=147 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=68, y=02 cx=148 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=69, y=02 cx=149 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=70, y=02 cx=150 used @[0000]
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 number of ASCII=0001, x=71, y=02 cx=151 used @[0000]
